,eps,minsample,metric,轮廓系数,word,dataset
0,14,4,-1,-1,我们,wiki
1,15,4,euclidean,-0.12631078843515178,我们,wiki
2,16,4,euclidean,-0.045039200059227257,我们,wiki
3,17,4,euclidean,0.05261251677765536,我们,wiki
4,18,4,euclidean,0.10035249436968786,我们,wiki
5,19,4,euclidean,0.15221802478566895,我们,wiki
6,20,4,euclidean,0.2000707877730173,我们,wiki
7,21,4,euclidean,0.20670085566430466,我们,wiki
8,22,4,euclidean,0.21616268870215247,我们,wiki
9,23,4,euclidean,0.26312228293291545,我们,wiki
10,24,4,euclidean,0.26312228293291545,我们,wiki
11,25,4,-1,-1,我们,wiki
12,26,4,-1,-1,我们,wiki
13,27,4,-1,-1,我们,wiki
14,28,4,-1,-1,我们,wiki
15,29,4,-1,-1,我们,wiki
16,14,4,euclidean,-0.10626969555068222,我们,PKU
17,15,4,euclidean,0.023473210944665566,我们,PKU
18,16,4,euclidean,0.10411900385400305,我们,PKU
19,17,4,euclidean,0.1574052208497355,我们,PKU
20,18,4,euclidean,0.2057674500630213,我们,PKU
21,19,4,euclidean,0.24622609553544203,我们,PKU
22,20,4,euclidean,0.28044429691770445,我们,PKU
23,21,4,euclidean,0.3057470433616882,我们,PKU
24,22,4,euclidean,0.32864638951191044,我们,PKU
25,23,4,euclidean,0.25623754233317536,我们,PKU
26,24,4,euclidean,0.256240621940455,我们,PKU
27,25,4,euclidean,0.35288428784447495,我们,PKU
28,26,4,euclidean,0.38428872305935297,我们,PKU
29,27,4,euclidean,0.40078754500058983,我们,PKU
30,28,4,euclidean,0.40078754500058983,我们,PKU
31,29,4,euclidean,0.4303164256555436,我们,PKU
32,14,4,euclidean,0.14598601803059266,我们,anwang
33,15,4,euclidean,0.023778102445368272,我们,anwang
34,16,4,euclidean,0.047237557297494695,我们,anwang
35,17,4,euclidean,0.0401793975078169,我们,anwang
36,18,4,euclidean,0.11036053390082694,我们,anwang
37,19,4,euclidean,0.20792581866387216,我们,anwang
38,20,4,euclidean,0.21271996713853333,我们,anwang
39,21,4,euclidean,0.3255968287892398,我们,anwang
40,22,4,euclidean,0.33704662586806416,我们,anwang
41,23,4,euclidean,0.397274808928159,我们,anwang
42,24,4,euclidean,0.4414103749034039,我们,anwang
43,25,4,euclidean,0.4903539317474424,我们,anwang
44,26,4,euclidean,0.5389113651859249,我们,anwang
45,27,4,euclidean,0.5389113651859249,我们,anwang
46,28,4,euclidean,0.5544362244488481,我们,anwang
47,29,4,euclidean,0.5544362244488481,我们,anwang
48,14,4,euclidean,-0.09972490950638795,我们,tieba
49,15,4,euclidean,0.09568651910948037,我们,tieba
50,16,4,euclidean,0.2184196143169519,我们,tieba
51,17,4,euclidean,0.3069933566540856,我们,tieba
52,18,4,euclidean,0.32104814416521293,我们,tieba
53,19,4,euclidean,0.33675933231944805,我们,tieba
54,20,4,-1,-1,我们,tieba
55,21,4,-1,-1,我们,tieba
56,22,4,-1,-1,我们,tieba
57,23,4,-1,-1,我们,tieba
58,24,4,-1,-1,我们,tieba
59,25,4,-1,-1,我们,tieba
60,26,4,-1,-1,我们,tieba
61,27,4,-1,-1,我们,tieba
62,28,4,-1,-1,我们,tieba
63,29,4,-1,-1,我们,tieba
64,14,4,-1,-1,你们,wiki
65,15,4,-1,-1,你们,wiki
66,16,4,-1,-1,你们,wiki
67,17,4,-1,-1,你们,wiki
68,18,4,-1,-1,你们,wiki
69,19,4,-1,-1,你们,wiki
70,20,4,-1,-1,你们,wiki
71,21,4,-1,-1,你们,wiki
72,22,4,-1,-1,你们,wiki
73,23,4,-1,-1,你们,wiki
74,24,4,-1,-1,你们,wiki
75,25,4,-1,-1,你们,wiki
76,26,4,-1,-1,你们,wiki
77,27,4,-1,-1,你们,wiki
78,28,4,-1,-1,你们,wiki
79,29,4,-1,-1,你们,wiki
80,14,4,-1,-1,你们,PKU
81,15,4,euclidean,-0.12209973628984658,你们,PKU
82,16,4,euclidean,-0.08483360786787539,你们,PKU
83,17,4,euclidean,0.019720898640948958,你们,PKU
84,18,4,euclidean,0.08902246418488266,你们,PKU
85,19,4,euclidean,0.11726271455026771,你们,PKU
86,20,4,euclidean,0.15955520856975014,你们,PKU
87,21,4,euclidean,0.21674537240949462,你们,PKU
88,22,4,euclidean,0.24930160726226003,你们,PKU
89,23,4,euclidean,0.23912241054199754,你们,PKU
90,24,4,euclidean,0.2450407974642573,你们,PKU
91,25,4,euclidean,0.2589437235460089,你们,PKU
92,26,4,euclidean,0.2589437235460089,你们,PKU
93,27,4,-1,-1,你们,PKU
94,28,4,-1,-1,你们,PKU
95,29,4,-1,-1,你们,PKU
96,14,4,euclidean,0.0046559180950575315,你们,anwang
97,15,4,euclidean,-0.0011123540820162517,你们,anwang
98,16,4,euclidean,0.027563660240924225,你们,anwang
99,17,4,euclidean,0.06693617836326761,你们,anwang
100,18,4,euclidean,0.0875382232275131,你们,anwang
101,19,4,euclidean,0.09709816547232472,你们,anwang
102,20,4,euclidean,0.10750364510977765,你们,anwang
103,21,4,euclidean,0.21582171499580752,你们,anwang
104,22,4,euclidean,0.2574390671722139,你们,anwang
105,23,4,euclidean,0.2953484745210549,你们,anwang
106,24,4,euclidean,0.32831580896901563,你们,anwang
107,25,4,euclidean,0.32831580896901563,你们,anwang
108,26,4,euclidean,0.3384567961563159,你们,anwang
109,27,4,euclidean,0.35018208026083125,你们,anwang
110,28,4,euclidean,0.35018208026083125,你们,anwang
111,29,4,euclidean,0.35018208026083125,你们,anwang
112,14,4,euclidean,-0.08304827364957346,你们,tieba
113,15,4,euclidean,0.0002619731094009446,你们,tieba
114,16,4,euclidean,0.18427754282286843,你们,tieba
115,17,4,euclidean,0.24343411279445332,你们,tieba
116,18,4,euclidean,0.24300281946703467,你们,tieba
117,19,4,euclidean,0.23943918027582642,你们,tieba
118,20,4,euclidean,0.2619824287410248,你们,tieba
119,21,4,euclidean,0.2619824287410248,你们,tieba
120,22,4,-1,-1,你们,tieba
121,23,4,-1,-1,你们,tieba
122,24,4,-1,-1,你们,tieba
123,25,4,-1,-1,你们,tieba
124,26,4,-1,-1,你们,tieba
125,27,4,-1,-1,你们,tieba
126,28,4,-1,-1,你们,tieba
127,29,4,-1,-1,你们,tieba
128,14,4,euclidean,-0.13019503557014134,中国,wiki
129,15,4,euclidean,-0.09029012966687847,中国,wiki
130,16,4,euclidean,-0.00834314104373511,中国,wiki
131,17,4,euclidean,0.012068644201881522,中国,wiki
132,18,4,euclidean,0.044792554826068434,中国,wiki
133,19,4,euclidean,0.17076201367458482,中国,wiki
134,20,4,euclidean,0.2261048743236901,中国,wiki
135,21,4,euclidean,0.30429038818690746,中国,wiki
136,22,4,euclidean,0.32187080301200616,中国,wiki
